Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
floor_1,598.3,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.65
floor_2,0,0,0,soil,0,3.5,120,201,5.86,0.03,replace,0,5.86,0.17,100,0
window_1,387,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,2.7
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,4
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,0,0,0,ext,0,7.66,300,269,6.86,0.04,replace,0,6.86,0.146,100,0
roof_2,598.34,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.357
wall_1,1673.7,0,0,ext,0,7.04,240,200,5.86,0.03,replace,0,5.86,0.17,100,0.6
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,598.3,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0.51
floor_2,0,0,0,soil,0,3.5,120,201,5.86,0.03,replace,0,5.86,0.17,100,0
window_1,387,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,3
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,4
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,131.9,0,0,ext,0,7.66,300,269,6.86,0.04,replace,0,6.86,0.146,100,0.146
roof_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_1,228,0,0,ext,0,7.04,240,200,5.86,0.03,replace,0,5.86,0.17,100,0.17
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_2,107.8,0,0,soil,0,3.5,120,201,5.86,0.03,replace,0,5.86,0.17,100,0.17
window_1,42,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,1.1
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2.6,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,1.3
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,131.9,0,0,ext,0,7.66,300,269,6.86,0.04,replace,0,6.86,0.146,100,0.146
roof_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_1,228,0,0,ext,0,7.04,240,200,5.86,0.03,replace,0,5.86,0.17,100,0.17
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_2,107.8,0,0,soil,0,3.5,120,201,5.86,0.03,replace,0,5.86,0.17,100,0.17
window_1,42,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,1.1
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2.6,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,1.3
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,131.9,0,0,ext,0,7.66,300,269,6.86,0.04,replace,0,6.86,0.146,100,0.146
roof_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_1,228,0,0,ext,0,7.04,240,200,5.86,0.03,replace,0,5.86,0.17,100,0.17
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_2,107.8,0,0,soil,0,3.5,120,201,5.86,0.03,replace,0,5.86,0.17,100,0.17
window_1,42,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,1.1
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2.6,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,1.3
,,,,,,,,,,,,,,,,
Building Parameter,"envelop area, Aenv,i (m2)",Uoriginal W/(m2K),dinsulation (mm),border type,Radd (m2K/W),"Rmeasure,predef,i (m2K/W)","dinsulation,predef,i (mm)","dinsulation,i (mm)","Rmeasure,i(m2K/W)","Thermal_insulation,effective,i (W/(m.K)",type of refurbishment,"Rbefore,i(m2K/W)","Rmeasure,result,i(m2K/W)","Umeasureresult,iW/(m2K)","fmeasure,i","Uactual,iW/(m2K)"
roof_1,131.9,0,0,ext,0,7.66,300,269,6.86,0.04,replace,0,6.86,0.146,100,0.146
roof_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_1,228,0,0,ext,0,7.04,240,200,5.86,0.03,replace,0,5.86,0.17,100,0.17
wall_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
wall_3,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_1,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
floor_2,107.8,0,0,soil,0,3.5,120,201,5.86,0.03,replace,0,5.86,0.17,100,0.17
window_1,42,0,0,-,0,0,0,0,0.91,0,replace,0,0.91,1.1,100,1.1
window_2,0,0,0,-,0,0,0,0,0,0,non-replace,0,0,0,-,0
door_1,2.6,0,0,-,0,0,0,0,0.77,0,replace,0,0.77,1.3,100,1.3
