res19,res48,res57,res68,res78,res83,res94,res01,res09,res15,res16
1650.0,1912.0,213.0,282.0,273.0,183.0,370.0,236.0,49.0,50.0,50.0
1672.0,1985.0,213.0,282.0,273.0,183.0,370.0,236.0,49.0,50.0,50.0
1672.0,1985.0,213.0,282.0,273.0,183.0,370.0,236.0,49.0,50.0,50.0
1712.0,1985.0,231.0,282.0,294.0,199.0,370.0,236.0,49.0,50.0,50.0
1695.0,1985.0,231.0,282.0,294.0,199.0,370.0,236.0,49.0,50.0,50.0
1717.0,1985.0,231.0,304.0,294.0,199.0,370.0,236.0,49.0,50.0,50.0
1740.0,2058.0,231.0,304.0,294.0,199.0,370.0,236.0,49.0,50.0,50.0
1768.0,2058.0,231.0,304.0,294.0,199.0,408.0,236.0,49.0,50.0,50.0
1757.0,2058.0,231.0,304.0,294.0,199.0,408.0,236.0,49.0,50.0,50.0
1768.0,2058.0,231.0,304.0,294.0,199.0,408.0,236.0,49.0,50.0,50.0
1774.0,2058.0,231.0,304.0,294.0,199.0,408.0,236.0,49.0,50.0,50.0
1785.0,2131.0,231.0,304.0,294.0,199.0,408.0,236.0,49.0,50.0,50.0
1791.0,2131.0,231.0,304.0,314.0,199.0,408.0,236.0,49.0,50.0,50.0
1791.0,2131.0,231.0,304.0,314.0,199.0,408.0,236.0,49.0,50.0,50.0
1690.0,2131.0,231.0,304.0,314.0,199.0,408.0,236.0,49.0,50.0,50.0
1695.0,2131.0,231.0,304.0,314.0,199.0,408.0,236.0,49.0,50.0,50.0
1695.0,2131.0,231.0,304.0,314.0,199.0,408.0,236.0,49.0,50.0,50.0
1701.0,2131.0,231.0,304.0,314.0,199.0,408.0,236.0,58.0,50.0,50.0
1808.0,2131.0,231.0,304.0,314.0,199.0,408.0,236.0,58.0,50.0,50.0
1813.0,2131.0,231.0,304.0,314.0,199.0,408.0,236.0,58.0,50.0,50.0
1797.0,2131.0,231.0,304.0,314.0,199.0,408.0,236.0,49.0,50.0,50.0
1785.0,2131.0,231.0,304.0,294.0,199.0,408.0,236.0,49.0,50.0,50.0
1768.0,2058.0,231.0,304.0,294.0,199.0,408.0,236.0,49.0,50.0,50.0
1751.0,2058.0,231.0,304.0,294.0,199.0,408.0,236.0,49.0,50.0,50.0
1734.0,2058.0,231.0,304.0,294.0,199.0,370.0,236.0,49.0,50.0,50.0
1723.0,2058.0,231.0,304.0,294.0,199.0,370.0,236.0,49.0,50.0,50.0
1706.0,1985.0,231.0,282.0,294.0,199.0,370.0,236.0,49.0,50.0,50.0
1689.0,1985.0,231.0,282.0,294.0,183.0,370.0,236.0,49.0,50.0,50.0
1678.0,1985.0,213.0,282.0,294.0,183.0,370.0,236.0,49.0,50.0,50.0
1661.0,1985.0,213.0,282.0,273.0,183.0,370.0,236.0,49.0,50.0,50.0
1638.0,1912.0,213.0,282.0,273.0,183.0,370.0,236.0,49.0,50.0,50.0
1627.0,1912.0,213.0,282.0,273.0,183.0,370.0,236.0,49.0,50.0,42.0
1616.0,1912.0,213.0,282.0,273.0,183.0,370.0,236.0,49.0,43.0,42.0
1604.0,1912.0,213.0,282.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1599.0,1912.0,213.0,282.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1587.0,1839.0,213.0,282.0,273.0,183.0,370.0,201.0,49.0,43.0,42.0
1576.0,1839.0,213.0,259.0,273.0,183.0,331.0,201.0,49.0,43.0,42.0
1086.0,1219.0,143.0,177.0,160.0,107.0,154.0,106.0,16.0,13.0,21.0
810.0,800.0,108.0,134.0,103.0,61.0,81.0,39.0,-0.0,1.0,-1.0
685.0,721.0,90.0,112.0,81.0,60.0,81.0,4.0,-0.0,-0.0,-1.0
612.0,648.0,90.0,90.0,81.0,60.0,77.0,4.0,8.0,-0.0,-1.0
578.0,575.0,71.0,90.0,81.0,43.0,42.0,4.0,8.0,-0.0,-1.0
679.0,641.0,88.0,110.0,99.0,43.0,77.0,35.0,8.0,6.0,-1.0
758.0,854.0,106.0,110.0,99.0,74.0,111.0,35.0,16.0,6.0,6.0
1158.0,1327.0,158.0,193.0,193.0,135.0,254.0,165.0,32.0,30.0,35.0
1152.0,1327.0,158.0,193.0,193.0,135.0,254.0,165.0,32.0,30.0,35.0
1147.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,35.0
1141.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,35.0
1130.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,35.0
1124.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,27.0
1119.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,27.0
1113.0,1254.0,140.0,193.0,193.0,119.0,254.0,130.0,32.0,30.0,27.0
1124.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,27.0
1130.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,35.0
1141.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,35.0
1141.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,35.0
1141.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,35.0
1147.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,35.0
1147.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,35.0
1147.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,35.0
1130.0,1327.0,140.0,193.0,193.0,119.0,254.0,165.0,32.0,30.0,35.0
550.0,575.0,71.0,90.0,61.0,43.0,77.0,4.0,-1.0,-7.0,-1.0
397.0,289.0,53.0,45.0,23.0,12.0,4.0,-63.0,-9.0,-13.0,-16.0
295.0,283.0,35.0,45.0,21.0,11.0,-0.0,-31.0,-1.0,-13.0,-9.0
352.0,343.0,52.0,43.0,39.0,26.0,-0.0,0.0,-10.0,-7.0,-2.0
216.0,136.0,35.0,23.0,0.0,11.0,-35.0,-31.0,-18.0,-13.0,-17.0
335.0,276.0,52.0,43.0,21.0,11.0,-0.0,0.0,-10.0,-7.0,-9.0
509.0,616.0,69.0,106.0,75.0,56.0,69.0,63.0,15.0,5.0,12.0
791.0,889.0,104.0,126.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
819.0,962.0,104.0,126.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
847.0,962.0,104.0,148.0,132.0,87.0,177.0,95.0,23.0,23.0,19.0
881.0,1035.0,122.0,148.0,152.0,103.0,177.0,130.0,23.0,23.0,27.0
915.0,1035.0,122.0,148.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
943.0,1108.0,122.0,148.0,152.0,103.0,216.0,130.0,23.0,23.0,27.0
977.0,1108.0,122.0,171.0,152.0,103.0,216.0,130.0,32.0,30.0,27.0
1006.0,1181.0,122.0,171.0,172.0,103.0,216.0,130.0,32.0,30.0,27.0
1056.0,1254.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
1102.0,1254.0,140.0,193.0,193.0,119.0,254.0,130.0,32.0,30.0,27.0
1152.0,1327.0,158.0,193.0,193.0,135.0,254.0,165.0,32.0,30.0,35.0
1181.0,1400.0,158.0,193.0,193.0,135.0,254.0,165.0,32.0,30.0,35.0
1209.0,1400.0,158.0,215.0,193.0,135.0,254.0,165.0,32.0,36.0,35.0
1237.0,1473.0,158.0,215.0,213.0,135.0,254.0,165.0,32.0,36.0,35.0
1254.0,1473.0,158.0,215.0,213.0,135.0,293.0,165.0,41.0,36.0,35.0
1277.0,1473.0,158.0,215.0,213.0,135.0,293.0,165.0,41.0,36.0,35.0
1265.0,1473.0,158.0,215.0,213.0,135.0,293.0,165.0,41.0,36.0,35.0
843.0,994.0,106.0,132.0,120.0,74.0,150.0,71.0,16.0,12.0,13.0
617.0,581.0,90.0,70.0,63.0,45.0,42.0,-28.0,-0.0,-6.0,-8.0
414.0,302.0,55.0,47.0,25.0,29.0,7.0,-28.0,-17.0,-19.0,-15.0
347.0,229.0,36.0,47.0,4.0,-2.0,-31.0,-63.0,-17.0,-19.0,-23.0
318.0,229.0,36.0,47.0,4.0,-2.0,-31.0,-63.0,-17.0,-19.0,-23.0
442.0,362.0,53.0,67.0,23.0,27.0,4.0,-31.0,-9.0,-13.0,-16.0
611.0,568.0,88.0,88.0,79.0,58.0,77.0,35.0,-1.0,-1.0,-1.0
1000.0,1181.0,122.0,171.0,172.0,103.0,216.0,130.0,32.0,30.0,27.0
1017.0,1181.0,140.0,171.0,172.0,119.0,216.0,130.0,32.0,30.0,27.0
