SFH,TH
4,531
4,532
4,544
4,544
4,544
4,532
2,190
1,31
1,21
2,185
3,281
3,377
3,320
3,413
3,456
4,473
4,473
4,474
4,475
4,476
4,476
4,483
4,485
4,508
4,487
4,508
4,508
4,508
4,508
4,487
4,485
4,476
4,474
4,472
3,465
2,140
2,148
2,178
2,238
3,380
3,416
3,448
3,453
3,458
4,474
4,484
4,514
4,544
4,583
5,609
5,620
5,624
5,633
5,633
2,221
1,48
1,-61
0,-127
0,-169
0,-177
0,-144
1,-56
1,107
3,456
3,464
4,474
4,483
4,487
4,511
4,514
4,514
4,513
4,512
4,512
4,511
4,511
4,510
4,509
4,486
4,476
3,439
3,459
3,423
1,54
1,-32
1,44
2,156
3,364
3,371
3,374
3,376
3,378
3,380
3,408
3,428
3,449
3,454
3,456
3,464
4,467
4,473
4,472
3,457
3,420
3,413
3,369
3,376
1,46
1,47
1,78
2,185
3,371
3,375
3,378
3,402
3,416
3,430
3,450
3,452
3,456
3,458
4,465
4,472
4,473
4,474
4,474
4,473
3,458
3,456
3,455
3,448
2,104
1,95
2,162
2,226
3,376
3,378
3,380
3,408
3,414
3,417
3,430
3,449
3,451
3,453
3,454
3,455
3,456
3,456
3,454
3,321
2,268
2,151
1,88
1,58
1,56
1,80
1,150
2,227
2,310
2,334
3,340
3,352
3,371
3,377
3,409
3,448
3,456
4,474
4,484
4,487
4,511
4,513
4,511
2,188
1,83
1,22
0,-62
0,-130
0,-135
1,-30
1,64
2,229
3,350
3,362
3,372
3,377
3,402
3,417
3,448
3,451
3,453
3,456
3,457
3,464
4,465
4,467
3,457
2,110
1,15
0,-162
0,-151
0,-99
0,-80
0,7
1,27
1,134
2,261
2,263
2,272
2,290
2,310
2,332
2,334
2,337
2,339
3,340
3,342
3,343
3,343
3,350
3,342
2,297
2,166
1,136
1,117
1,91
1,93
1,101
1,135
1,193
2,238
2,241
2,256
2,259
2,263
2,289
2,310
2,334
2,337
3,340
3,342
3,343
3,350
3,352
3,343
2,213
1,100
1,34
0,-8
0,0
0,0
0,0
0,0
0,0
1,194
1,199
2,203
2,228
2,238
2,248
2,258
2,264
2,310
2,337
3,341
3,351
3,356
3,364
3,364
3,373
3,362
3,361
3,361
3,362
1,132
2,144
2,228
2,237
2,337
2,338
3,339
3,341
3,342
3,343
3,351
3,343
3,341
2,338
2,337
2,334
2,333
2,331
2,290
2,158
1,100
1,99
0,0
0,0
0,0
0,0
0,0
0,0
0,0
