sfh,th,mfh,ab
16.070919480000004,8.327784959999999,22.2958128,47.07457817419355
16.179141160000004,8.38386432,22.4524176,47.40450799354839
16.341473680000004,8.46798336,22.687324800000003,47.899402722580646
16.395584520000003,8.49602304,22.765627200000004,48.06436763225807
16.449695360000003,8.52406272,22.8439296,48.229332541935484
16.557917040000003,8.58014208,23.0005344,48.55926236129033
16.612027880000003,8.60818176,23.0788368,48.724227270967745
16.666138720000003,8.63622144,23.157139200000003,48.88919218064516
16.612027880000003,8.60818176,23.0788368,47.764227270967744
15.046808640000004,8.29974528,21.2575104,44.98961326451614
14.559811080000001,7.077388159999999,20.552788800000002,41.58492907741936
14.01870268,6.796991359999999,18.8097648,38.01527998064516
12.669926800000002,6.6007136,17.301648,35.90052561290322
13.531705120000002,6.544634240000001,18.105043200000004,37.49059579354839
13.910481000000003,7.7109119999999995,20.57316,41.52535016129032
15.259256880000002,7.90718976,21.121276799999997,43.64010452903225
15.259256880000002,7.90718976,21.121276799999997,44.60010452903225
15.313367720000006,7.9352294400000005,21.199579200000002,44.76506943870968
15.313367720000006,7.9352294400000005,21.199579200000002,44.76506943870968
15.313367720000006,7.9352294400000005,21.199579200000002,44.76506943870968
15.313367720000006,7.9352294400000005,21.199579200000002,44.76506943870968
15.313367720000006,7.9352294400000005,21.199579200000002,44.76506943870968
15.313367720000006,7.9352294400000005,21.199579200000002,44.76506943870968
15.313367720000006,7.9352294400000005,21.199579200000002,44.76506943870968
15.313367720000006,7.9352294400000005,21.199579200000002,44.76506943870968
15.259256880000002,7.90718976,21.121276799999997,44.60010452903225
15.205146040000004,7.8791500800000005,21.042974400000002,44.43513961935484
15.151035200000004,7.8511104,20.964672,44.27017470967742
15.151035200000004,7.8511104,20.964672,44.27017470967742
15.096924360000003,7.82307072,20.8863696,44.1052098
15.042813520000003,7.7950310400000005,20.8080672,43.94024489032258
15.042813520000003,7.7950310400000005,20.8080672,43.94024489032258
14.934591840000003,7.738951680000001,20.651462400000007,42.65031507096775
12.990596720000001,6.2642374400000005,18.2820192,36.8009466967742
12.449488320000004,5.98384064,17.498995200000003,36.111297600000015
12.124823280000003,5.815602559999999,17.0291808,35.121508141935486
10.559604040000005,5.50716608,14.247854400000005,29.46689413548387
11.4754932,5.4791264,16.089551999999998,33.14192922580645
10.343160680000004,5.395007360000001,13.934644800000001,27.847034496774192
11.746047400000002,6.5893248,17.441064,35.88675377419355
12.824269080000002,6.64540416,17.5976688,37.17668359354839
12.986601600000004,6.7295232,17.832576000000003,37.67157832258065
13.094823280000004,6.785602559999999,17.9891808,38.00150814193548
13.203044960000001,6.841681919999999,18.1457856,38.33143796129032
13.365377480000003,6.92580096,18.380692800000002,38.82633269032258
13.473599160000001,6.981880319999998,18.5372976,39.15626250967742
13.581820840000002,7.03795968,18.693902400000002,39.486192329032264
13.744153360000002,7.122078719999999,18.9288096,39.98108705806452
13.960596720000002,7.23423744,19.2420192,40.64094669677419
14.177040080000003,7.34639616,19.555228800000002,41.30080633548387
14.447594280000004,7.48659456,19.946740800000004,42.12563088387097
14.664037640000005,7.59875328,20.2599504,42.78549052258065
14.718148480000004,7.6267929599999995,20.3382528,42.95045543225806
14.826370160000003,7.6828723199999995,20.494857600000003,43.2803852516129
14.934591840000003,7.738951680000001,20.651462400000007,43.61031507096775
14.988702680000001,7.766991359999999,20.729764799999998,43.77527998064516
15.042813520000003,7.7950310400000005,20.8080672,42.98024489032258
15.096924360000003,7.82307072,20.8863696,43.145209799999996
14.181035200000004,7.8511104,20.964672,43.31017470967742
14.235146040000004,7.8791500800000005,21.042974400000002,43.47513961935484
14.289256880000002,7.90718976,21.121276799999997,43.64010452903225
14.343367720000005,7.9352294400000005,21.199579200000002,43.80506943870968
15.205146040000004,7.8791500800000005,21.042974400000002,43.47513961935484
15.205146040000004,7.8791500800000005,21.042974400000002,43.47513961935484
15.367478560000002,7.96326912,21.277881599999997,44.930034348387096
15.475700240000002,8.01934848,21.4344864,45.259964167741934
15.529811080000002,8.047388159999999,21.5127888,45.42492907741936
15.638032760000003,8.103467519999999,21.6693936,45.754858896774195
15.800365280000005,8.18758656,21.9043008,46.249753625806456
16.016808640000004,8.29974528,22.217510400000002,46.90961326451613
16.016808640000004,8.29974528,22.217510400000002,46.90961326451613
16.395584520000003,8.49602304,22.765627200000004,48.06436763225807
16.233252000000004,8.411904,22.53072,47.56947290322581
16.449695360000003,8.52406272,22.8439296,48.229332541935484
16.666138720000003,8.63622144,23.157139200000003,48.88919218064516
16.936692920000006,8.776419839999999,23.548651200000002,49.71401672903226
16.828471240000002,8.72034048,23.392046400000005,49.38408690967743
16.936692920000006,8.776419839999999,23.548651200000002,49.71401672903226
16.990803760000002,8.804459519999998,23.626953599999997,49.878981638709675
17.099025440000005,8.86053888,23.783558400000004,50.20891145806452
17.153136280000002,8.88857856,23.861860800000002,49.413876367741935
17.153136280000002,8.88857856,23.861860800000002,49.413876367741935
16.183136280000003,8.88857856,23.861860800000002,49.413876367741935
16.237247120000006,8.91661824,23.9401632,49.578841277419365
16.237247120000006,8.91661824,23.9401632,49.578841277419365
16.291357960000003,8.94465792,24.0184656,49.74380618709677
17.3154688,8.9726976,24.096768,49.90877109677419
17.369579640000005,9.000737280000001,24.175070400000003,50.07373600645162
17.207247120000005,8.91661824,23.9401632,50.538841277419365
17.099025440000005,8.86053888,23.783558400000004,50.20891145806452
16.936692920000006,8.776419839999999,23.548651200000002,49.71401672903226
16.774360400000003,8.692300799999998,23.313744,49.219122
16.612027880000003,8.60818176,23.0788368,48.724227270967745
