SFH,TH,MFH,AB
3066765,400389,1324598,1783868
3040042,378384,1296500,1761416
3028743,376751,1283787,1738963
2995213,375118,1274510,1716511
2910867,373486,1252617,1694056
2899568,371853,1232815,1671605
2893919,371036,1222640,1660379
2844092,363767,1215154,1637927
2838443,362951,1203665,1626700
2832793,362134,1195116,1615473
2821494,360502,1170067,1582211
2515723,344039,1116170,1492087
2465245,339957,1050763,1415183
2369601,336691,1013350,1349844
2352653,334242,974781,1316165
2347003,333425,985273,1317940
2347003,333425,997500,1338517
2459574,335058,1023570,1379957
2476522,337507,1067132,1435853
2476522,337507,1067132,1435853
2482171,338324,1074853,1447081
2566517,339957,1082339,1469532
2482171,338324,1074853,1447081
2482171,338324,1074853,1447081
2487821,339140,1077700,1458307
2487821,339140,1077700,1458307
2600047,341590,1097690,1491986
2622644,349928,1135762,1536890
2622644,349928,1135762,1536890
2628294,350745,1137009,1548117
2633943,351561,1150241,1559342
2773862,355200,1165429,1581797
2821494,360502,1170067,1593021
2821494,360502,1170067,1593021
2821494,360502,1170067,1582211
2532671,351561,1129397,1518136
2515723,344039,1084755,1450880
2437741,342406,1060504,1407655
2432092,341590,1040974,1396429
2493126,340773,1043300,1400005
2498775,341590,1066113,1437635
2605696,342406,1112610,1471629
2616995,344039,1131123,1525664
2633943,351561,1150241,1559342
2773862,355200,1165429,1581797
2827144,361318,1187449,1604249
2838443,362951,1203665,1626700
2849741,370220,1218001,1649152
2899568,371853,1232815,1671605
2910867,373486,1252617,1694056
3066765,400389,1324598,1783868
3239485,427748,1374364,1873677
3363376,452040,1463334,1974713
3472590,456123,1498580,2030844
3616959,471769,1548965,2086977
3679476,475851,1577395,2143107
3696425,483936,1611360,2176786
3798680,507574,1641969,2221690
3780770,485569,1616708,2184243
2081146,247672,737924,964675
1777185,147015,555995,676278
1012643,51340,182620,178250
1175530,73636,273835,317917
1281892,112173,326686,375162
1102888,61325,207243,229888
1232233,68673,278290,323293
2905217,372669,1234062,1682831
2995213,375118,1274510,1716511
3034393,377568,1286634,1750187
3054506,379201,1302274,1772641
3098274,407095,1341895,1806321
3188269,414562,1351802,1839997
3239485,427748,1374364,1873677
3250784,429380,1408662,1896130
3250784,429380,1408662,1896130
3233836,426931,1373117,1862452
3188269,414562,1351802,1839997
3103923,407911,1343142,1817546
3098274,407095,1341895,1806321
3066765,400389,1324598,1783868
3040042,378384,1296500,1761416
3034393,377568,1286634,1750187
2989563,374302,1266412,1692283
1356913,140600,388812,493669
308015,-57477,-193684,-312423
-100237,-96851,-309725,-480143
695361,11733,94267,93804
232815,-72763,-192752,-307369
695361,11733,79471,77007
676645,21460,95392,88425
1658086,227873,706861,964353
1764662,229506,733946,986806
1814488,231139,743887,1009258
1820138,237028,750978,1020484
1831436,238661,773519,1042937
